date,skill,model,input_tokens,output_tokens,cache_read,cache_creation
2026-05-16,onboard,claude-sonnet-4-6,35,17874,1272822,37525
2026-05-16,onboard,claude-sonnet-4-6,45,20955,1800202,44067
2026-05-27,token-pick,claude-sonnet-4-6,2575,13722,618279,51160
2026-05-28,morning-brief,claude-sonnet-4-6,10,5542,257832,23679
2026-05-28,github-trending,claude-sonnet-4-6,13,11575,273284,26680
2026-05-28,narrative-tracker,claude-sonnet-4-6,3057,8190,417786,27858
2026-05-28,security-digest,claude-sonnet-4-6,421,17563,470557,39495
2026-05-29,morning-brief,claude-sonnet-4-6,11,7799,282266,30302
2026-05-29,token-pick,claude-sonnet-4-6,2000,17793,547956,47916
2026-05-30,morning-brief,claude-sonnet-4-6,13,5988,361042,27824
2026-05-30,github-trending,claude-sonnet-4-6,13,11179,335848,27320
2026-05-30,token-pick,claude-sonnet-4-6,4147,23662,914176,61298
2026-05-31,morning-brief,claude-sonnet-4-6,1033,6780,279435,29128
2026-05-31,github-trending,claude-sonnet-4-6,13,14970,344511,31521
2026-05-31,narrative-tracker,claude-sonnet-4-6,3104,8786,414133,30005
2026-05-31,security-digest,claude-sonnet-4-6,21,22084,735757,50516
2026-06-01,morning-brief,claude-sonnet-4-6,11,6367,286034,27002
2026-06-01,github-trending,claude-sonnet-4-6,17,18033,534515,36937
2026-06-01,defi-monitor,claude-sonnet-4-6,7,1275,160445,11708
2026-06-01,defi-monitor,claude-sonnet-4-6,5,1737,101230,11356
2026-06-01,narrative-tracker,claude-sonnet-4-6,944,10745,407138,31071
2026-06-01,deal-flow,claude-sonnet-4-6,2839,19048,660934,87172
2026-06-02,morning-brief,claude-sonnet-4-6,684,4615,374745,28555
2026-06-02,github-trending,claude-sonnet-4-6,13,9895,338725,27058
2026-06-02,token-pick,claude-sonnet-4-6,965,17703,589951,88632
2026-06-02,security-digest,claude-sonnet-4-6,30,23006,1333438,60099
2026-06-03,morning-brief,claude-sonnet-4-6,11,6519,290974,30685
2026-06-03,github-trending,claude-sonnet-4-6,15,14422,443496,34532
2026-06-03,token-movers,claude-sonnet-4-6,18,30704,640530,56263
2026-06-04,morning-brief,claude-sonnet-4-6,10,6394,241366,26731
2026-06-04,github-trending,claude-sonnet-4-6,13,13730,354432,32687
2026-06-04,narrative-tracker,claude-sonnet-4-6,1736,11919,422661,35254
2026-06-04,security-digest,claude-sonnet-4-6,226,18172,1047960,43174
2026-06-05,morning-brief,claude-sonnet-4-6,12,5515,312243,29399
2026-06-05,github-trending,claude-sonnet-4-6,14,9567,382014,27582
2026-06-05,token-pick,claude-sonnet-4-6,3678,14835,561387,41662
2026-06-06,morning-brief,claude-sonnet-4-6,8,5487,236187,25899
2026-06-06,github-trending,claude-sonnet-4-6,15,10915,441614,31532
2026-06-06,token-movers,claude-sonnet-4-6,5069,17531,378311,44873
2026-06-08,morning-brief,claude-sonnet-4-6,837,8204,362708,30570
2026-06-08,github-trending,claude-sonnet-4-6,13,17532,347056,32895
2026-06-08,token-movers,claude-sonnet-4-6,1256,37625,1775151,65086
2026-06-08,security-digest,claude-sonnet-4-6,21,17415,753191,42662
2026-06-08,deal-flow,claude-sonnet-4-6,2801,19226,988470,65552
2026-06-09,morning-brief,claude-sonnet-4-6,11,7941,305073,33236
2026-06-09,github-trending,claude-sonnet-4-6,14,12558,394548,30959
2026-06-09,token-movers,claude-sonnet-4-6,16,14520,493127,36898
2026-06-09,narrative-tracker,claude-sonnet-4-6,706,17990,1063032,40099
